time_left,ct_score,t_score,map,bomb_planted,ct_health,t_health,ct_armor,t_armor,ct_money,t_money,ct_helmets,t_helmets,ct_defuse_kits,ct_players_alive,t_players_alive
175.0,0,0,de_dust2,False,500,500,0,0,4000,4000,0,0,0,5,5
156.0,0,0,de_dust2,False,500,500,400,300,600,650,0,0,1,5,5
96.0,0,0,de_dust2,False,391,400,294,200,750,500,0,0,1,4,4
76.0,0,0,de_dust2,False,391,400,294,200,750,500,0,0,1,4,4
175.0,1,0,de_dust2,False,500,500,192,0,18350,10750,0,0,1,5,5
115.0,1,0,de_dust2,False,500,500,500,0,1750,10550,5,0,1,5,5
95.0,1,0,de_dust2,False,295,111,296,0,1700,5000,3,0,0,3,2
75.0,1,0,de_dust2,False,295,111,296,0,1700,5000,3,0,0,3,2
54.97,1,0,de_dust2,False,249,89,269,0,2300,2950,3,0,0,3,1
175.0,2,0,de_dust2,False,500,500,196,0,19800,23450,2,0,0,5,5
115.0,2,0,de_dust2,False,500,500,496,500,2200,1000,4,5,2,5,5
95.0,2,0,de_dust2,False,500,500,496,500,2200,1000,4,5,2,5,5
54.97,2,0,de_dust2,False,116,126,187,179,1050,350,1,2,1,2,2
34.97,2,0,de_dust2,False,100,105,100,174,300,650,0,2,0,1,2
175.0,2,1,de_dust2,False,500,500,0,174,9700,18750,0,2,0,5,5
115.0,2,1,de_dust2,False,500,500,500,474,850,3150,0,5,0,5,5
95.0,2,1,de_dust2,False,431,428,499,465,850,3150,0,5,0,5,5
75.0,2,1,de_dust2,False,404,328,494,365,1150,3050,0,4,0,5,4
54.97,2,1,de_dust2,False,391,211,489,323,1150,3050,0,4,0,5,4
29.27,2,1,de_dust2,True,379,99,487,93,2050,100,0,1,0,5,1
175.0,3,1,de_dust2,False,500,500,487,93,19850,16950,0,1,0,5,5
115.0,3,1,de_dust2,False,500,500,499,493,12100,2200,4,5,1,5,5
95.0,3,1,de_dust2,False,300,339,299,373,6850,2550,2,4,1,3,4
75.0,3,1,de_dust2,False,200,339,200,373,4450,2850,2,4,1,2,4
54.97,3,1,de_dust2,False,100,149,100,175,1050,950,1,2,1,1,2
22.7,3,1,de_dust2,True,100,149,100,175,1050,1250,1,2,1,1,2
175.0,3,2,de_dust2,False,500,500,0,172,18400,19850,0,2,0,5,5
175.0,3,2,de_dust2,False,500,500,100,472,13000,5100,0,5,0,5,5
172.1,3,2,de_dust2,False,500,500,400,472,4050,5100,2,5,1,5,5
112.1,3,2,de_dust2,False,500,500,500,472,850,5100,2,5,1,5,5
92.1,3,2,de_dust2,False,300,414,300,441,250,6000,1,5,0,3,5
72.1,3,2,de_dust2,False,300,414,300,441,250,6000,1,5,0,3,5
37.38,3,2,de_dust2,True,300,414,300,441,250,6300,1,5,0,3,5
17.38,3,2,de_dust2,True,300,414,300,441,250,6300,1,5,0,3,5
175.0,3,3,de_dust2,False,500,500,285,436,10350,23800,1,5,0,5,5
115.0,3,3,de_dust2,False,500,500,285,436,9650,19900,1,5,0,5,5
95.0,3,3,de_dust2,False,399,465,285,433,7750,20000,1,5,0,4,5
75.0,3,3,de_dust2,False,163,149,100,155,3750,8650,0,2,0,2,2
24.84,3,3,de_dust2,True,67,0,96,0,2150,0,0,0,0,1,0
175.0,4,3,de_dust2,False,500,500,96,0,28550,32200,0,0,0,5,5
115.0,4,3,de_dust2,False,500,500,496,500,5000,5450,2,5,1,5,5
95.0,4,3,de_dust2,False,400,476,400,498,350,5550,2,5,1,4,5
75.0,4,3,de_dust2,False,300,286,300,392,300,4950,2,4,1,3,4
7.35,4,3,de_dust2,True,100,210,100,294,250,3350,1,3,1,1,3
175.0,4,4,de_dust2,False,500,500,0,282,12400,23100,0,3,0,5,5
